task_id	sid	snap	run_label	mode	alpha	ray_id	spectrum_file	output_file
11201	438148	99	L4Rvir	noflip	40	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha40_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha040/L4Rvir_sid438148_J122138+043026_noflip_alpha40_spectrum_fits.csv
11202	438148	99	L4Rvir	noflip	41	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha41_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha041/L4Rvir_sid438148_J122138+043026_noflip_alpha41_spectrum_fits.csv
11203	438148	99	L4Rvir	noflip	42	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha42_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha042/L4Rvir_sid438148_J122138+043026_noflip_alpha42_spectrum_fits.csv
11204	438148	99	L4Rvir	noflip	43	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha43_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha043/L4Rvir_sid438148_J122138+043026_noflip_alpha43_spectrum_fits.csv
11205	438148	99	L4Rvir	noflip	44	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha44_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha044/L4Rvir_sid438148_J122138+043026_noflip_alpha44_spectrum_fits.csv
11206	438148	99	L4Rvir	noflip	45	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha45_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha045/L4Rvir_sid438148_J122138+043026_noflip_alpha45_spectrum_fits.csv
11207	438148	99	L4Rvir	noflip	46	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha46_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha046/L4Rvir_sid438148_J122138+043026_noflip_alpha46_spectrum_fits.csv
11208	438148	99	L4Rvir	noflip	47	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha47_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha047/L4Rvir_sid438148_J122138+043026_noflip_alpha47_spectrum_fits.csv
11209	438148	99	L4Rvir	noflip	48	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha48_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha048/L4Rvir_sid438148_J122138+043026_noflip_alpha48_spectrum_fits.csv
11210	438148	99	L4Rvir	noflip	49	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha49_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha049/L4Rvir_sid438148_J122138+043026_noflip_alpha49_spectrum_fits.csv
11211	438148	99	L4Rvir	noflip	50	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha50_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha050/L4Rvir_sid438148_J122138+043026_noflip_alpha50_spectrum_fits.csv
11212	438148	99	L4Rvir	noflip	51	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha51_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha051/L4Rvir_sid438148_J122138+043026_noflip_alpha51_spectrum_fits.csv
11213	438148	99	L4Rvir	noflip	52	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha52_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha052/L4Rvir_sid438148_J122138+043026_noflip_alpha52_spectrum_fits.csv
